Algorithm 	 TrueGraphID 	 Sample Size 	 AP 	 AR 	 AHP 	 AHR 	 SHD 	 adj F1 	 ah F1
PCMax	Graph_100_1007_C	1000	0.7806451612903226	0.8066666666666666	0.7372262773722628	0.6733333333333333	153.0	0.7934426229508196	0.7038327526132405
PCMax	Graph_100_1008_C	1000	0.7419354838709677	0.7666666666666667	0.6642335766423357	0.6066666666666667	181.0	0.7540983606557377	0.6341463414634146
PCMax	Graph_100_1009_C	1000	0.777027027027027	0.7666666666666667	0.7033898305084746	0.5533333333333333	179.0	0.7718120805369126	0.6194029850746269
PCMax	Graph_100_1010_C	1000	0.7371794871794872	0.7666666666666667	0.6083916083916084	0.58	200.0	0.7516339869281047	0.5938566552901025
PCMax	Graph_100_1011_C	1000	0.8152866242038217	0.8533333333333334	0.7034482758620689	0.68	147.0	0.8338762214983714	0.6915254237288135
PCMax	Graph_100_1012_C	1000	0.8333333333333334	0.7666666666666667	0.8070175438596491	0.6133333333333333	142.0	0.7986111111111112	0.696969696969697
PCMax	Graph_100_1013_C	1000	0.8064516129032258	0.8333333333333334	0.7028985507246377	0.6466666666666666	153.0	0.819672131147541	0.6736111111111112
PCMax	Graph_100_1014_C	1000	0.7933333333333333	0.7933333333333333	0.6791044776119403	0.6066666666666667	167.0	0.7933333333333333	0.6408450704225352
PCMax	Graph_100_1015_C	1000	0.8466666666666667	0.8466666666666667	0.7954545454545454	0.7	122.0	0.8466666666666667	0.7446808510638298
PCMax	Graph_100_1016_C	1000	0.7908496732026143	0.8066666666666666	0.6423357664233577	0.5866666666666667	174.0	0.7986798679867987	0.613240418118467
PCMax	Graph_100_1017_C	1000	0.7532467532467533	0.7733333333333333	0.6204379562043796	0.5666666666666667	193.0	0.763157894736842	0.5923344947735192
PCMax	Graph_100_1018_C	1000	0.8026315789473685	0.8133333333333334	0.6928571428571428	0.6466666666666666	154.0	0.8079470198675497	0.6689655172413792
PCMax	Graph_100_1019_C	1000	0.8278145695364238	0.8333333333333334	0.7352941176470589	0.6666666666666666	138.0	0.8305647840531561	0.6993006993006994
PCMax	Graph_100_1020_C	1000	0.8079470198675497	0.8133333333333334	0.7122302158273381	0.66	151.0	0.8106312292358804	0.685121107266436
PCMax	Graph_100_3001_C	3000	0.86	0.86	0.78125	0.6666666666666666	122.0	0.8599999999999999	0.7194244604316546
PCMax	Graph_100_3002_C	3000	0.8136645962732919	0.8733333333333333	0.75	0.7	132.0	0.8424437299035369	0.7241379310344827
PCMax	Graph_100_3003_C	3000	0.810126582278481	0.8533333333333334	0.6423357664233577	0.5866666666666667	166.0	0.8311688311688312	0.613240418118467
PCMax	Graph_100_3004_C	3000	0.7515151515151515	0.8266666666666667	0.569620253164557	0.6	196.0	0.7873015873015872	0.5844155844155844
PCMax	Graph_100_3005_C	3000	0.7610062893081762	0.8066666666666666	0.6133333333333333	0.6133333333333333	184.0	0.7831715210355987	0.6133333333333333
PCMax	Graph_100_3006_C	3000	0.8407643312101911	0.88	0.7214285714285714	0.6733333333333333	131.0	0.8599348534201954	0.696551724137931
PCMax	Graph_100_3007_C	3000	0.8205128205128205	0.8533333333333334	0.7426470588235294	0.6733333333333333	136.0	0.8366013071895425	0.7062937062937064
PCMax	Graph_100_3008_C	3000	0.7924528301886793	0.84	0.6521739130434783	0.6	170.0	0.8155339805825242	0.6250000000000001
PCMax	Graph_100_3009_C	3000	0.7924528301886793	0.84	0.6617647058823529	0.6	168.0	0.8155339805825242	0.6293706293706294
PCMax	Graph_100_3010_C	3000	0.8607594936708861	0.9066666666666666	0.8283582089552238	0.74	103.0	0.8831168831168831	0.7816901408450704
PCMax	Graph_100_3011_C	3000	0.8506493506493507	0.8733333333333333	0.7647058823529411	0.6933333333333334	125.0	0.8618421052631579	0.7272727272727272
PCMax	Graph_100_3012_C	3000	0.8376623376623377	0.86	0.6875	0.66	143.0	0.8486842105263157	0.673469387755102
PCMax	Graph_100_3013_C	3000	0.8581081081081081	0.8466666666666667	0.7266187050359713	0.6733333333333333	132.0	0.8523489932885906	0.698961937716263
PCMax	Graph_100_3014_C	3000	0.832258064516129	0.86	0.7573529411764706	0.6866666666666666	129.0	0.8459016393442623	0.7202797202797203
PCMax	Graph_100_3015_C	3000	0.8525641025641025	0.8866666666666667	0.7342657342657343	0.7	126.0	0.8692810457516339	0.7167235494880545
PCMax	Graph_100_3016_C	3000	0.8148148148148148	0.88	0.6887417218543046	0.6933333333333334	142.0	0.8461538461538461	0.6910299003322259
PCMax	Graph_100_3017_C	3000	0.7878787878787878	0.8666666666666667	0.6730769230769231	0.7	154.0	0.8253968253968254	0.6862745098039216
PCMax	Graph_100_3018_C	3000	0.7926829268292683	0.8666666666666667	0.6578947368421053	0.6666666666666666	157.0	0.8280254777070064	0.6622516556291391
PCMax	Graph_100_3019_C	3000	0.84	0.84	0.7698412698412699	0.6466666666666666	134.0	0.8399999999999999	0.7028985507246376
PCMax	Graph_100_3020_C	3000	0.8113207547169812	0.86	0.7027027027027027	0.6933333333333334	143.0	0.8349514563106797	0.6979865771812082
