Algorithm 	 TrueGraphID 	 Sample Size 	 Alpha/Penalty 	 AP 	 AR 	 AHP 	 AHR,	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_1002_C	1000	0.05	0.8372093023255814	0.72	0.868421052631579	0.44	170.0	0.7741935483870969	0.5840707964601771
CPC	Graph_100_1002_C	1000	0.08	0.7898550724637681	0.7266666666666667	0.8481012658227848	0.44666666666666666	183.0	0.7569444444444444	0.5851528384279475
CPC	Graph_100_1002_C	1000	0.1	0.7857142857142857	0.7333333333333333	0.8831168831168831	0.4533333333333333	184.0	0.7586206896551724	0.5991189427312775
CPC	Graph_100_1003_C	1000	1.0E-4	0.9811320754716981	0.6933333333333334	0.9636363636363636	0.35333333333333333	149.0	0.8125	0.5170731707317073
CPC	Graph_100_1003_C	1000	0.001	0.9910714285714286	0.74	0.9848484848484849	0.43333333333333335	127.0	0.8473282442748092	0.6018518518518519
CPC	Graph_100_1003_C	1000	0.01	0.957983193277311	0.76	0.961038961038961	0.49333333333333335	122.0	0.8475836431226766	0.6519823788546255
CPC	Graph_100_1003_C	1000	0.03	0.9126984126984127	0.7666666666666667	0.963855421686747	0.5333333333333333	127.0	0.8333333333333334	0.6866952789699571
CPC	Graph_100_1003_C	1000	0.05	0.8666666666666667	0.78	0.963855421686747	0.5333333333333333	139.0	0.8210526315789474	0.6866952789699571
CPC	Graph_100_1003_C	1000	0.08	0.8309859154929577	0.7866666666666666	0.9318181818181818	0.5466666666666666	149.0	0.8082191780821917	0.6890756302521007
CPC	Graph_100_1003_C	1000	0.1	0.7947019867549668	0.8	0.9540229885057471	0.5533333333333333	160.0	0.79734219269103	0.70042194092827
CPC	Graph_100_1004_C	1000	1.0E-4	0.981651376146789	0.7133333333333334	1.0	0.42	134.0	0.8262548262548263	0.5915492957746479
CPC	Graph_100_1004_C	1000	0.001	0.9739130434782609	0.7466666666666667	1.0	0.47333333333333333	123.0	0.8452830188679246	0.6425339366515836
CPC	Graph_100_1004_C	1000	0.01	0.9338842975206612	0.7533333333333333	0.9726027397260274	0.47333333333333333	132.0	0.8339483394833949	0.6367713004484306
CPC	Graph_100_1004_C	1000	0.03	0.9133858267716536	0.7733333333333333	0.9746835443037974	0.5133333333333333	129.0	0.8375451263537906	0.6724890829694323
CPC	Graph_100_1004_C	1000	0.05	0.8854961832061069	0.7733333333333333	0.9397590361445783	0.52	136.0	0.8256227758007118	0.6695278969957081
CPC	Graph_100_1004_C	1000	0.08	0.8489208633093526	0.7866666666666666	0.9101123595505618	0.54	144.0	0.8166089965397924	0.6778242677824268
CPC	Graph_100_1004_C	1000	0.1	0.8206896551724138	0.7933333333333333	0.9021739130434783	0.5533333333333333	151.0	0.8067796610169492	0.6859504132231404
CPC	Graph_100_1005_C	1000	1.0E-4	1.0	0.78	0.9722222222222222	0.4666666666666667	115.0	0.8764044943820225	0.6306306306306306
CPC	Graph_100_1005_C	1000	0.001	1.0	0.82	0.9761904761904762	0.5466666666666666	97.0	0.9010989010989011	0.7008547008547009
CPC	Graph_100_1005_C	1000	0.01	0.9562043795620438	0.8733333333333333	0.9696969696969697	0.64	87.0	0.9128919860627178	0.7710843373493975
CPC	Graph_100_1005_C	1000	0.03	0.935251798561151	0.8666666666666667	0.9595959595959596	0.6333333333333333	95.0	0.8996539792387542	0.7630522088353413
CPC	Graph_100_1005_C	1000	0.05	0.9090909090909091	0.8666666666666667	0.96	0.64	102.0	0.887372013651877	0.7679999999999999
CPC	Graph_100_1005_C	1000	0.08	0.9027777777777778	0.8666666666666667	0.96	0.64	104.0	0.8843537414965987	0.7679999999999999
CPC	Graph_100_1005_C	1000	0.1	0.8874172185430463	0.8933333333333333	0.9805825242718447	0.6733333333333333	99.0	0.8903654485049834	0.7984189723320159
CPC	Graph_100_1006_C	1000	1.0E-4	0.9661016949152542	0.76	0.9565217391304348	0.44	128.0	0.8507462686567164	0.6027397260273973
CPC	Graph_100_1006_C	1000	0.001	0.9586776859504132	0.7733333333333333	0.972972972972973	0.48	122.0	0.8560885608856088	0.6428571428571428
CPC	Graph_100_1006_C	1000	0.01	0.967479674796748	0.7933333333333333	0.9512195121951219	0.52	112.0	0.8717948717948718	0.6724137931034483
CPC	Graph_100_1006_C	1000	0.03	0.952755905511811	0.8066666666666666	0.9767441860465116	0.56	107.0	0.8736462093862815	0.7118644067796611
CPC	Graph_100_1006_C	1000	0.05	0.9307692307692308	0.8066666666666666	0.9772727272727273	0.5733333333333334	111.0	0.8642857142857142	0.722689075630252
CPC	Graph_100_1006_C	1000	0.08	0.8661971830985915	0.82	0.967032967032967	0.5866666666666667	127.0	0.8424657534246575	0.7302904564315353
CPC	Graph_100_1006_C	1000	0.1	0.8322147651006712	0.8266666666666667	0.9468085106382979	0.5933333333333334	137.0	0.8294314381270903	0.7295081967213115
CPC	Graph_100_1007_C	1000	1.0E-4	0.9259259259259259	0.6666666666666666	0.9272727272727272	0.34	165.0	0.7751937984496123	0.49756097560975604
CPC	Graph_100_1007_C	1000	0.001	0.926605504587156	0.6733333333333333	0.9482758620689655	0.36666666666666664	160.0	0.7799227799227799	0.5288461538461539
