GraphID, DataSetID, Algorithm, Elapsed Time
Graph_10014, DataSet_100_10014, FGES, 1.371616337 s
Graph_10015, DataSet_100_10015, FGES, 1.722135147 s
Graph_10016, DataSet_100_10016, FGES, 1.866819539 s
Graph_10017, DataSet_100_10017, FGES, 1.48837996 s
Graph_10018, DataSet_100_10018, FGES, 2.015794171 s
Graph_10019, DataSet_100_10019, FGES, 1.240785842 s
Graph_10020, DataSet_100_10020, FGES, 1.506408203 s
Graph_101, DataSet_50_101, CPC Stable, 0.009852754 s
Graph_102, DataSet_50_102, CPC Stable, 0.012381908 s
Graph_103, DataSet_50_103, CPC Stable, 0.009822391 s
Graph_104, DataSet_50_104, CPC Stable, 0.0108586 s
Graph_105, DataSet_50_105, CPC Stable, 0.008531298 s
Graph_106, DataSet_50_106, CPC Stable, 0.009323745 s
Graph_107, DataSet_50_107, CPC Stable, 0.010359098 s
Graph_108, DataSet_50_108, CPC Stable, 0.011131872 s
Graph_109, DataSet_50_109, CPC Stable, 0.010056318 s
Graph_110, DataSet_50_110, CPC Stable, 0.011703647 s
Graph_111, DataSet_50_111, CPC Stable, 0.010561807 s
Graph_112, DataSet_50_112, CPC Stable, 0.009815548 s
Graph_113, DataSet_50_113, CPC Stable, 0.008933295 s
Graph_114, DataSet_50_114, CPC Stable, 0.010908208 s
Graph_115, DataSet_50_115, CPC Stable, 0.00881013 s
Graph_116, DataSet_50_116, CPC Stable, 0.009868577 s
Graph_117, DataSet_50_117, CPC Stable, 0.009754821 s
Graph_118, DataSet_50_118, CPC Stable, 0.010254323 s
Graph_119, DataSet_50_119, CPC Stable, 0.012081694 s
Graph_120, DataSet_50_120, CPC Stable, 0.008178911 s
Graph_101, DataSet_50_101, PC Max, 0.008865725 s
Graph_101, DataSet_50_101, PC Stable, 0.008644628 s
Graph_102, DataSet_50_102, PC Max, 0.00895425 s
Graph_102, DataSet_50_102, PC Stable, 0.010887253 s
Graph_103, DataSet_50_103, PC Max, 0.006627804 s
Graph_103, DataSet_50_103, PC Stable, 0.008902076 s
Graph_104, DataSet_50_104, PC Max, 0.008207991 s
Graph_104, DataSet_50_104, PC Stable, 0.010055462 s
Graph_105, DataSet_50_105, PC Max, 0.006919465 s
Graph_105, DataSet_50_105, PC Stable, 0.007631512 s
Graph_106, DataSet_50_106, PC Max, 0.00669238 s
Graph_106, DataSet_50_106, PC Stable, 0.008754963 s
Graph_107, DataSet_50_107, PC Max, 0.00740742 s
Graph_107, DataSet_50_107, PC Stable, 0.00997549 s
Graph_108, DataSet_50_108, PC Max, 0.006773635 s
Graph_108, DataSet_50_108, PC Stable, 0.00825204 s
Graph_109, DataSet_50_109, PC Max, 0.010154678 s
Graph_109, DataSet_50_109, PC Stable, 0.009362661 s
Graph_110, DataSet_50_110, PC Max, 0.00928611 s
Graph_110, DataSet_50_110, PC Stable, 0.008760949 s
Graph_111, DataSet_50_111, PC Max, 0.00712303 s
Graph_111, DataSet_50_111, PC Stable, 0.009516617 s
Graph_112, DataSet_50_112, PC Max, 0.008510344 s
Graph_112, DataSet_50_112, PC Stable, 0.008272567 s
Graph_113, DataSet_50_113, PC Max, 0.006684254 s
